study_id,item_id,item_filename,tester_id,tester_external_id,tester_display_name,tester_quality_grade,item_question,tester_item_answer,fixation_point_x,fixation_point_y,fixation_starts_at_ms,fixation_ends_at_ms,fixation_duration_ms,notes
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,26.793650793651,44.7,801,945,144,"RealEye v7.0.19; FixationFilterSettings [gazePointInterpolationHz = 60; gazePointInterpolationMaxGapMs = 50; gazeVelocityThreshold = 10; minFixationDurationMs = 100; noiseReductionLevel = 21]; 2021-02-21T10:06:14+00:00"
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,48.805555555556,74.111111111111,1187,1331,144,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,44.454365079365,60.333333333333,1479,1625,146,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,31.742063492063,64.111111111111,1812,1940,128,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,69.452380952381,77.444444444444,2005,2144,139,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,18.176587301587,91.222222222222,2687,2899,212,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,76.661706349206,91.888888888889,3020,3193,173,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,51.365079365079,78.111111111111,3578,3678,100,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,36.690476190476,41.666666666667,5354,5492,138,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,15.446428571429,40.888888888889,6038,6210,172,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,36.519841269841,76.633744855967,7016,7189,173,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,24.575396825397,56,7462,7570,108,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,44.369047619048,40.222222222222,7683,7853,170,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,61.973631996658,95.561403508772,8072,8177,105,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,53.412698412698,82.611111111111,8363,8528,165,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,51.791666666667,69.06006006006,8779,8881,102,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,49.189484126984,99.666666666667,9220,9438,218,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,9.6116622574956,123,9525,9629,104,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,62.072420634921,52.988505747126,9790,9895,105,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,48.123015873016,62.518518518519,10036,10289,253,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,51.067760942761,63.333333333333,10948,11087,139,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,66.019280538302,66.727598566308,11326,11653,327,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,64.248015873016,66.727598566308,11670,11828,158,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,86.56462585034,79.555555555556,12293,12396,103,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,88.392857142857,76.444444444444,12482,12589,107,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,77.472222222222,71.703703703704,13286,13418,132,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,77.472222222222,71.418128654971,13437,13612,175,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,69.708333333333,87.777777777778,13899,14154,255,
fa93c38a-c549-4ba4-955f-4f5bc89c0ea4,4bbc9efa-84b6-4a92-95dc-64a71bcf7a83,Untitled_6_x500.jpg,b64f163c-5bba-48cc-bfb9-8ec8ab4e04c2,,Anonymous,3,,,70.390873015873,72.5,14216,14324,108,
